Year,Month,Date,Description,Category,Amount,Account,Bank,Card
,,,amazon prime,Bills & Utilities,-6.99,Credit,Chase,Amazon
,,,steam,Shopping,-33.99,Credit,Chase,Amazon
,,,etsy,Shopping,-70.15,Credit,Chase,Amazon
,,,cricut subscription,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,etsy,Shopping,-31.84,Credit,Chase,Amazon
,,,prime taphouse,Restaurant,-49.99,Credit,Chase,Amazon
,,,costco,grocery,-9.95,Credit,Chase,Amazon
,,,tj maxx,Shopping,-122.01,Credit,Chase,Amazon
,,,fastrak,Bills & Utilities,-7.0,Credit,Chase,Amazon
,,,xfinity internet,Bills & Utilities,6.94,Credit,Chase,Amazon
,,,costco,grocery,-41.42,Credit,Chase,Amazon
,,,amazon,Shopping,-99.24,Credit,Chase,Amazon
,,,fedex,Shopping,-0.19,Credit,Chase,Amazon
,,,transfer,transfer,1248.24,Credit,Chase,Amazon
,,,steam,Shopping,-19.78,Credit,Chase,Amazon
,,,andrew's flowers,Shopping,-25.0,Credit,Chase,Amazon
,,,starbucks,Restaurant,-5.25,Credit,Chase,Amazon
,,,office depot,Shopping,-6.99,Credit,Chase,Amazon
,,,gas,Gas,-32.23,Credit,Chase,Amazon
,,,gas,Gas,-8.68,Credit,Chase,Amazon
,,,boxer ramen,Restaurant,-38.5,Credit,Chase,Amazon
,,,gas,Gas,-27.51,Credit,Chase,Amazon
,,,pet food express,Shopping,-18.0,Credit,Chase,Amazon
,,,lowes,Shopping,-5.04,Credit,Chase,Amazon
,,,lowes,Shopping,6.12,Credit,Chase,Amazon
,,,costco,grocery,-20.05,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-36.9,Credit,Chase,Amazon
,,,brickyard counter,Restaurant,-36.56,Credit,Chase,Amazon
,,,car-izma,Shopping,-26.99,Credit,Chase,Amazon
,,,amazon,Shopping,-25.14,Credit,Chase,Amazon
,,,lowes,Shopping,-26.55,Credit,Chase,Amazon
,,,barns & nobel,Shopping,-13.93,Credit,Chase,Amazon
,,,amazon,Shopping,-12.79,Credit,Chase,Amazon
,,,costco,grocery,-49.32,Credit,Chase,Amazon
,,,gas,Gas,-7.5,Credit,Chase,Amazon
,,,dollar tree,Shopping,-9.04,Credit,Chase,Amazon
,,,safeway,Groceries,-13.5,Credit,Chase,Amazon
,,,goldorado,Shopping,-35.03,Credit,Chase,Amazon
,,,in n out,Restaurant,-17.0,Credit,Chase,Amazon
,,,lazy dog,Restaurant,-79.15,Credit,Chase,Amazon
,,,t.w. bonkers,Shopping,-6.48,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-34.9,Credit,Chase,Amazon
,,,tj maxx,Shopping,-32.15,Credit,Chase,Amazon
,,,home depot,Shopping,-27.55,Credit,Chase,Amazon
,,,in n out,Restaurant,-17.62,Credit,Chase,Amazon
,,,staples,Shopping,-0.25,Credit,Chase,Amazon
,,,tj maxx,Shopping,-42.88,Credit,Chase,Amazon
,,,thai paradise,Restaurant,-53.81,Credit,Chase,Amazon
,,,ups,Shopping,-30.0,Credit,Chase,Amazon
,,,el dorado trash,Bills & Utilities,-81.03,Credit,Chase,Amazon
,,,amazon,Shopping,-9.92,Credit,Chase,Amazon
,,,in n out,Restaurant,-19.99,Credit,Chase,Amazon
,,,dollar tree,Shopping,-8.04,Credit,Chase,Amazon
,,,key me locksmiths,Shopping,18.21,Credit,Chase,Amazon
,,,cold stone creamery,Restaurant,-17.74,Credit,Chase,Amazon
,,,big lots,Groceries,-10.39,Credit,Chase,Amazon
,,,bel air,Restaurant,-24.54,Credit,Chase,Amazon
,,,thai paradise,Restaurant,-45.92,Credit,Chase,Amazon
,,,key me locksmiths,Shopping,-18.21,Credit,Chase,Amazon
,,,amazon,Shopping,-19.79,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-7.5,Credit,Chase,Amazon
,,,amazon,Shopping,-18.07,Credit,Chase,Amazon
,,,xfinity internet,Bills & Utilities,-25.0,Credit,Chase,Amazon
,,,steam,Shopping,-36.82,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,surplus,Shopping,-112.38,Credit,Chase,Amazon
,,,cricut subscription,Bills & Utilities,-369.0,Credit,Chase,Amazon
,,,gas,Gas,-28.75,Credit,Chase,Amazon
,,,barns & nobel,Shopping,-32.8,Credit,Chase,Amazon
,,,in n out,Restaurant,-8.62,Credit,Chase,Amazon
,,,lopez taqueria,Restaurant,-27.21,Credit,Chase,Amazon
,,,gas,Gas,-28.44,Credit,Chase,Amazon
,,,gas,Gas,-42.77,Credit,Chase,Amazon
,,,smog center,Shopping,-58.0,Credit,Chase,Amazon
,,,petco,Shopping,-19.62,Credit,Chase,Amazon
,,,dutch bros,Restaurant,-15.2,Credit,Chase,Amazon
,,,costco,grocery,-17.98,Credit,Chase,Amazon
,,,mercari,Bills & Utilities,-74.3,Credit,Chase,Amazon
,,,transfer,transfer,610.44,Credit,Chase,Amazon
,,,hmart,Groceries,-5.18,Credit,Chase,Amazon
,,,little big burger,Restaurant,-19.5,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-121.4,Credit,Chase,Amazon
,,,mercari,Bills & Utilities,-190.0,Credit,Chase,Amazon
,,,amazon,Shopping,-15.97,Credit,Chase,Amazon
,,,costco,grocery,-126.43,Credit,Chase,Amazon
,,,ross,Shopping,-25.96,Credit,Chase,Amazon
,,,barns & nobel,Shopping,-92.97,Credit,Chase,Amazon
,,,amazon,Shopping,-19.79,Credit,Chase,Amazon
,,,amazon,Shopping,-4.63,Credit,Chase,Amazon
,,,mud bay,Shopping,-61.99,Credit,Chase,Amazon
,,,fred meyer,Groceries,-24.26,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-7.5,Credit,Chase,Amazon
,,,paypal,Cash,-125.0,Credit,Chase,Amazon
,,,tj maxx,Shopping,-15.99,Credit,Chase,Amazon
,,,topaz farm,Shopping,-23.52,Credit,Chase,Amazon
,,,daves hot chicken,Restaurant,-12.58,Credit,Chase,Amazon
,,,tj maxx,Shopping,7.99,Credit,Chase,Amazon
,,,batter up,Restaurant,-16.15,Credit,Chase,Amazon
,,,dashpass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,best teriyaki,Restaurant,-13.75,Credit,Chase,Amazon
,,,tj maxx,Shopping,-38.97,Credit,Chase,Amazon
,,,home depot,Shopping,-17.52,Credit,Chase,Amazon
,,,costco,grocery,-2.68,Credit,Chase,Amazon
,,,home depot,Shopping,6.28,Credit,Chase,Amazon
,,,home depot,Shopping,-41.13,Credit,Chase,Amazon
,,,bubble n tea,Restaurant,-6.0,Credit,Chase,Amazon
,,,tj maxx,Shopping,-123.89,Credit,Chase,Amazon
,,,home depot,Shopping,-20.09,Credit,Chase,Amazon
,,,transfer,transfer,1659.25,Credit,Chase,Amazon
,,,amazon,Shopping,-120.99,Credit,Chase,Amazon
,,,amazon,Shopping,-135.38,Credit,Chase,Amazon
,,,home depot,Shopping,29.98,Credit,Chase,Amazon
,,,carl's jr,Restaurant,-4.99,Credit,Chase,Amazon
,,,color me mine,Shopping,-91.1,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-7.5,Credit,Chase,Amazon
,,,doordash,Restaurant,-30.98,Credit,Chase,Amazon
,,,dashpass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,steam,Shopping,-29.99,Credit,Chase,Amazon
,,,walmart,Restaurant,-28.86,Credit,Chase,Amazon
,,,panda express,Restaurant,-9.9,Credit,Chase,Amazon
,,,amazon,Shopping,-12.98,Credit,Chase,Amazon
,,,home depot,Shopping,-45.94,Credit,Chase,Amazon
,,,red robin,Restaurant,-47.44,Credit,Chase,Amazon
,,,amazon,Shopping,-198.98,Credit,Chase,Amazon
,,,amazon,Shopping,-74.19,Credit,Chase,Amazon
,,,amazon,Shopping,-16.6,Credit,Chase,Amazon
,,,costco,grocery,-6.97,Credit,Chase,Amazon
,,,ikea,Shopping,-138.0,Credit,Chase,Amazon
,,,home depot,Shopping,-340.56,Credit,Chase,Amazon
,,,carl's jr,Restaurant,-6.0,Credit,Chase,Amazon
,,,panda express,Restaurant,-19.2,Credit,Chase,Amazon
,,,doordash,Restaurant,-14.46,Credit,Chase,Amazon
,,,doordash,Restaurant,-16.29,Credit,Chase,Amazon
,,,mud bay,Shopping,-61.99,Credit,Chase,Amazon
,,,goodwill,Shopping,-10.97,Credit,Chase,Amazon
,,,target,Shopping,-23.99,Credit,Chase,Amazon
,,,amazon,Shopping,-13.42,Credit,Chase,Amazon
,,,amazon,Shopping,-37.11,Credit,Chase,Amazon
,,,el campesino,Restaurant,-30.78,Credit,Chase,Amazon
,,,salt and pepper,Restaurant,-51.0,Credit,Chase,Amazon
,,,amazon,Shopping,-30.87,Credit,Chase,Amazon
,,,amazon,Shopping,-21.99,Credit,Chase,Amazon
,,,amazon,Shopping,45.99,Credit,Chase,Amazon
,,,steam,Shopping,-69.99,Credit,Chase,Amazon
,,,doordash,Restaurant,-15.57,Credit,Chase,Amazon
,,,ancestry,Shopping,-69.95,Credit,Chase,Amazon
,,,costco,grocery,-53.38,Credit,Chase,Amazon
,,,amazon,Shopping,-45.99,Credit,Chase,Amazon
,,,doordash,Restaurant,-13.65,Credit,Chase,Amazon
,,,amazon,Shopping,-45.99,Credit,Chase,Amazon
,,,amazon,Shopping,-119.99,Credit,Chase,Amazon
,,,amazon,Shopping,-8.78,Credit,Chase,Amazon
,,,amazon,Shopping,-5.94,Credit,Chase,Amazon
,,,transfer,transfer,3939.97,Credit,Chase,Amazon
,,,salt and pepper,Restaurant,-27.5,Credit,Chase,Amazon
,,,etsy,Shopping,-193.81,Credit,Chase,Amazon
,,,rovente pizzeria,Restaurant,-20.5,Credit,Chase,Amazon
,,,steam,Shopping,-19.99,Credit,Chase,Amazon
,,,ross,Shopping,-57.34,Credit,Chase,Amazon
,,,amazon,Shopping,-36.99,Credit,Chase,Amazon
,,,tj maxx,Shopping,-27.98,Credit,Chase,Amazon
,,,amazon,Shopping,-3.0,Credit,Chase,Amazon
,,,amazon,Shopping,-13.99,Credit,Chase,Amazon
,,,amazon,Shopping,-37.58,Credit,Chase,Amazon
,,,bubble n tea,Restaurant,-13.75,Credit,Chase,Amazon
,,,costco,grocery,-11.99,Credit,Chase,Amazon
,,,costco,grocery,-1577.39,Credit,Chase,Amazon
,,,usps,Shopping,-1.1,Credit,Chase,Amazon
,,,costco,grocery,-352.59,Credit,Chase,Amazon
,,,usps,Shopping,-1.1,Credit,Chase,Amazon
,,,amazon,Shopping,-18.99,Credit,Chase,Amazon
,,,doordash,Restaurant,-11.21,Credit,Chase,Amazon
,,,costco,grocery,20.98,Credit,Chase,Amazon
